Código;Nombre del alimento/preparación;Energía (kcal);Energía (kJ);Agua (g);Proteínas (g);Grasa total (g);Carbohidratos totales (g);Carbohidratos disponibles (g);Fibra dietaria (g)
G19;Yogurt frutado de leche descremada;95;397;75,4;4,4;0,2;19,0;19,0;0,0
G20;Yogurt natural de leche descremada;56;234;85,2;5,7;0,2;7,7;7,7;0,0
G21;Leche fresca de vaca, descremada***;30;126;91,5;2,5;0,0;5,0;5,0;0,0
G22;Leche parcialmente descremada sabor “chocolate” UHT;82;341;82,0;3,0;2,8;11,3;11,3;0,0
G23;Queso andino;375;1567;42,0;22,6;31,4;0,6;0,6;0,0
G24;Queso Paria;298;1246;48,9;19,2;24,5;0,0;0,0;0,0
G25;Yogurt bebible descremado durazno con calcio;50;210;86,6;4,1;0,1;8,1;8,1;0,0
G26;Yogurt bebible de fresa;78;327;80,9;2,7;1,2;14,5;14,5;0,0
H1;Cerveza;36;151;94,5;0,3;0,0;5,1;5,1;0,0
H2;Chicha de aguaje;54;226;87,2;0,4;0,8;11,2;•;•
H3;Chicha de cebada;24;100;94,0;0,1;0,2;5,5;•;•
H4;Chicha de jora;28;117;93,2;0,4;0,3;5,8;•;•
H5;Chicha de maíz morado con azúcar;20;84;95,0;0,0;0,0;4,9;•;•
H6;Chicha de maní;34;142;92,1;0,5;0,8;6,3;•;•
H7;Chicha de pijuayo;47;197;88,3;0,8;0,1;10,6;•;•
H8;Chicha de soya;41;172;89,9;0,6;0,2;9,1;•;•
H9;Chicha de yuca (masato);37;155;90,4;0,2;0,1;8,9;•;•
H10;Coca Cola;39;163;89,5;0,0;0,0;10,5;10,5;0,0
H11;Inca Kola;41;172;89,0;0,0;0,0;11,0;•;•
H12;Bebida de soya;38;159;91,4;3,0;1,4;3,8;2,5;1,3
H13;Té sin azúcar;1;4;99,6;0,1;0,0;0,2;0,2;0,0
H14;Vino blanco (grado alcohólico: 12,0);81;338;•;•;•;•;•;•
H15;Vino tinto (grado alcohólico: 10,2);69;287;•;•;•;•;•;•
H16;Café sin azúcar;2;8;99,1;0,1;0,0;0,6;0,6;0,0
J1;Huevo de charapa;222;929;61,3;16,3;16,0;1,8;;•
J2;Huevo de gallina, clara de;51;213;87,6;10,9;0,2;0,7;0,7;0,0
J3;Huevo de gallina entero, sancochado en agua;145;605;75,6;12,8;9,9;•;•;•
J4;Huevo de gallina entero, crudo;156;652;72,2;12,7;11,1;•;•;•
J5;Huevo de gallina, yema de;354;1481;50,1;15,6;30,9;1,9;1,9;0,0
J6;Huevo de tortuga motelo;143;598;73,5;16,4;7,3;1,6;•;•
J7;Huevo de pata;166;695;72,5;13,1;11,1;2,3;2,3;0,0
J8;Huevo de pata, yema de;426;1782;41,7;15,1;38,8;2,8;2,8;0,0
J9;Huevo de tortuga taricaya;178;745;66,0;15,1;11,3;2,9;•;•
J10;Huevo de gallina, clara sancochada en agua;55;229;86,0;11,9;0,3;•;•;•
J11;Huevo de gallina, yema sancochada en agua;360;1507;48,7;16,3;32,1;•;•;•
J12;Huevo de codorniz, entero crudo;140;586;70,8;12,6;9,4;•;•;•
J13;Huevo de codorniz, entero sancochado en agua;168;701;69,9;12,7;12,4;•;•;•
J14;Huevo de codorniz, clara sancochada en agua;47;197;86,4;10,6;0,1;•;•;•
J15;Huevo de codorniz, yema sancochada en agua;295;1234;50,2;13,5;26,2;•;•;•
K1;Azúcar granulada o refinada;384;1619;0,6;0,0;0,0;99,2;99,2;0,0
K2;Azúcar rubia;380;1590;2,0;0,0;0,0;97,5;97,5;0,0
K3;Chancaca;324;1356;15,8;0,0;0,0;83,9;83,9;0,0
K4;Miel de abeja;330;1381;14,1;0,0;0,0;85,6;85,4;0,2
K5;Miel de caña;282;1180;26,3;0,3;0,2;72,0;72,0;0,0
K6;Mermelada de durazno;196;820;48,2;0,6;0,1;50,7;•;•
K7;Mermelada frutilla;229;958;39,7;0,4;0,2;59,4;•;•
L1;Achiote seco;388;1623;3,1;11,3;5,3;74,9;•;•
L2;Algas;249;1042;3,4;67,8;6,5;15,3;•;•
L3;Azafrán sin cáscara (palillo fresco);71;298;80,3;1,3;0,4;16,7;•;•
L4;Café grano sin tostar;203;849;6,3;11,7;10,8;68,2;•;•
L5;Cochayuyo fresco;20;84;90,1;1,7;0,4;4,7;2,5;2,2
L6;Cocoa;404;1690;8,7;19,0;17,1;47,8;•;•
L7;Cominos;375;1569;8,1;17,8;22,3;44,2;33,7;10,5
L8;Extracto de algarrobo en polvo;340;1423;12,5;12,0;3,2;65,8;•;•
L9;Champiñones;22;94;90,3;3,0;0,4;5,6;1,7;3,9
L10;Laurel;188;787;45,2;4,2;1,2;47,1;•;•
L11;Pimienta negra;255;1067;10,5;11,0;3,3;71,0;44,5;26,5
L12;Té hojas secas;308;1289;11,4;8,0;4,0;71,4;•;•
L13;Yuyo fresco;41;172;86,1;2,1;0,1;8,0;•;•
L14;Ají dulce seco, molido (paprika);362;1516;9,1;14,5;17,9;49,5;•;•
L15;Algarrobina (líquida);368;1539;5,2;5,2;0,2;85,5;•;•
L16;Anís, semilla*;337;1410;9,5;17,6;15,9;50,0;35,4;14,6
L17;Caldo de res*;40;167;92,4;1,2;2,4;3,3;•;•
L18;Caldo de pollo, o gallina*;89;372;88,1;0,2;9,8;0,0;•;•
L19;Clavo de olor, molido*;323;1351;6,9;6,0;20,1;61,2;27,0;34,2
L20;Canela, molida*;261;1092;9,5;3,9;3,2;79,9;25,6;54,3
L21;Condimentos o especies molidas no especificadas*;263;1100;8,5;6,1;8,7;72,1;50,5;21,6
L22;Cushuro o nostoc deshidratada (alga);242;1013;15,1;29,0;0,5;46,9;•;•
L23;Levadura fresca para pan**;113;473;70,6;13,4;0,3;14,2;•;•
L24;Levadura seca**;359;1502;7,2;41,6;1,2;45,5;•;•
L25;Nuez moscada, molida*;440;1842;6,2;5,8;36,3;49,3;28,5;20,8
L26;Pimienta blanca*;296;1238;11,4;10,4;2,1;68,6;42,4;26,2
L27;Salsa envasada, inglesa*;67;280;78,5;0,0;0,0;19,5;19,5;0,0
L28;Setas;19;80;90,5;2,3;0,1;6,5;2,1;4,4
L29;Vainilla, extracto*;288;1205;52,6;0,1;0,1;12,7;12,7;0,0
Q1;Al 110 maternizada;502;2100;3,0;14,0;25,0;55,3;•;•
Q2;Cerelac manzana;414;1732;3,0;11,0;7,4;75,6;•;•
Q3;Cerelac trigo;425;1778;1,5;11,5;7,8;77,2;•;•
Q4;Eledón maternizada;417;1745;3,0;27,9;12,0;49,8;49,8;0,0
Q5;Nan maternizada;509;2130;3,0;11,4;26,0;57,7;•;•
Q6;Nestúm cereal mixto;380;1590;3,0;9,4;1,2;82,9;•;•
Q7;Nestúm tres cereales;376;1573;4,0;10,7;2,4;77,8;•;•
Q8;Pelargón maternizada;458;1916;3,0;16,5;17,1;59,6;•;•
T1;Arveja partida, harina de;346;1448;10,1;21,6;1,1;64,4;•;•
T2;Arveja, fresca sin vaina;85;357;72,6;7,1;0,6;18,8;13,7;5,1
T3;Arveja, seca sin cáscara;247;1033;11,5;21,7;3,2;61,1;35,6;25,5
T4;Arvejón;238;997;12,1;21,4;1,9;61,9;36,4;25,5
T5;Frejol aguisho;231;968;12,6;22,7;1,6;59,1;34,2;24,9
T6;Frejol amarillo común;232;970;12,6;21,1;1,5;61,0;35,9;25,1
T7;Frejol bayo;244;1021;14,2;20,3;2,2;59,5;38,1;21,4
T8;Frejol bayo americano;232;971;13,4;20,3;1,5;61,5;36,6;24,9
T9;Frejol zarandaja;236;985;12,8;21,7;1,8;60,3;35,7;24,5
T10;Frejol bountiful bean;334;1397;12,9;17,3;0,9;65,2;•;•
T11;Frejol bush bean;227;951;13,3;24,2;1,6;56,8;31,9;24,9
T12;Frejol caballero;267;1119;12,5;22,9;1,5;58,3;43,1;15,2
T13;Frejol caballero o blanco cocido;67;279;75,8;5,1;0,4;17,5;11,2;6,3
T14;Frejol california;232;970;13,2;20,7;2,1;59,9;35,0;24,9
T15;Frejol canario;236;988;11,7;21,9;2,1;60,1;35,0;25,1
T16;Frejol canario cocido;43;180;77,8;5,2;0,5;15,5;5,1;10,4
T17;Frejol canario, fresco (frejol verde);102;427;58,4;9,7;0,6;29,6;15,6;14,0
T18;Frejol canario serranito;238;996;12,2;19,2;1,8;63,3;38,4;24,9
T19;Frejol caraotas;228;955;13,5;21,2;1,4;60,0;35,1;24,9
T20;Frejol castilla;227;950;13,3;23,3;2,7;56,9;30,5;26,4
T21;Frejol chavín;234;978;12,6;19,2;1,4;63,1;38,2;24,9
T22;Frejol chiclayo;223;934;15,1;21,4;1,6;58,2;33,3;24,9
T23;Frejol chiclayo dosmesino fresco;100;419;73,2;8,4;0,4;16,6;•;•
T24;Frejol cocacho;230;963;13,1;21,3;1,2;60,8;35,9;24,9
T25;Frejol dulce (ancash);236;988;12,4;19,4;1,8;62,7;37,8;24,9
T26;Frejol negro;270;1131;13,6;18,2;1,3;63,4;48,2;15,2
T27;Frejol nucya blanco;237;990;12,5;20,0;1,9;62,1;37,2;24,9
T28;Frejol nucya plomo;233;975;12,9;19,8;1,6;62,0;37,1;24,9
T29;Frejol palo;345;1442;10,3;18,4;1,4;66,1;•;•
T30;Frejol palo, fresco (lenteja verde);82;341;67,6;7,0;0,8;23,2;12,5;10,7
T31;Frejol panamito;235;981;12,2;21,5;1,7;60,7;35,8;24,9
T32;Frejol plomo;236;987;12,7;20,1;1,8;62,0;37,1;24,9
T33;Frejol pole bean;229;960;13,2;22,4;1,2;59,7;34,8;24,9
T34;Frejol red kidney;270;1128;13,6;19,2;1,2;62,6;47,4;15,2
T35;Frejol shimpe fresco;51;213;86,0;3,7;0,1;9,1;•;•
T36;Frejol soya;369;1542;9,5;33,7;18,7;32,7;23,4;9,3
T37;Frejol tarhui o chocho cocido con cáscara;140;584;69,7;11,6;8,6;9,5;6,7;2,8
T38;Frejol tarhui o chocho, harina de;458;1916;7,0;49,6;27,9;12,9;•;•
T39;Frejol tarhui o chocho, seco;277;1159;46,3;17,3;17,5;17,3;•;•
T40;Frejol terciopelo;358;1498;11,5;21,0;5,6;58,5;•;•
T41;Frejol vacapaleta;226;948;15,6;18,3;2,4;60,1;35,2;24,9
T42;Frejol white kidney;268;1121;13,1;22,1;1,1;59,9;44,7;15,2
T43;Garbanzo, cocido;127;530;61,9;6,9;2,5;27,8;20,2;7,6
T44;Garbanzo;293;1225;10,8;17,6;5,4;63,3;45,9;17,4
T45;Guaba fresco;141;590;63,3;10,7;0,7;24,0;•;•
T46;Guaba seco;346;1448;10,7;20,3;2,1;63,3;•;•
T47;Habas frescas, sin cáscara y sin vaina;134;562;60,6;11,3;0,8;25,9;21,7;4,2
T48;Habas secas con cáscara cruda;340;1423;11,5;23,8;1,5;60,1;•;•
T49;Habas secas sin cáscara;233;976;13,6;25,9;2,4;55,3;30,3;25,0
T50;Habas secas sin cáscara cocida;83;347;72,8;7,3;0,5;18,5;13,1;5,4
T51;Habas, harina de;310;1297;8,1;22,4;2,3;64,6;52,5;12,1
T52;Lentejas chicas;211;883;13,0;22,6;1,0;61,0;30,5;30,5
T53;Lentejas chicas cocidas;65;274;74,6;6,4;0,1;18,3;10,4;7,9
T54;Lentejas grandes;214;895;12,4;23,2;1,1;61,0;30,5;30,5
T55;Pallar morado;259;1082;12,1;20,0;1,3;62,8;43,8;19,0
T56;Pallar seco;253;1060;11,6;20,4;1,2;61,4;42,4;19,0
T57;Pallar sin cáscara;260;1088;12,2;21,6;1,4;61,6;42,6;19,0
T58;Pallar cocido, con cáscara;94;393;68,1;7,7;0,8;21,9;14,9;7,0
T59;Arveja colantao, fresca;35;147;88,5;3,1;0,1;7,8;5,9;2,0
T60;Arveja, harina de;306;1280;8,2;19,9;2,4;67,0;53,3;13,7
T61;Arveja verde partida sancochada;120;503;65,6;10,1;1,8;21,8;17,3;4,5
T62;Caza o parka;342;1432;11,0;25,1;2,0;58,6;•;•
T63;Frejol bayo sancochado;111;463;63,8;9,8;0,9;24,3;16,9;7,3
T64;Frejol castilla sancochado;119;500;64,4;10,1;1,8;22,7;17,1;5,6
T65;Frejol chiclayo marron;334;1396;13,5;22,6;2,1;58,4;•;•
T66;Frejol chiclayo pindayllo;343;1436;11,6;25,1;2,9;57,0;•;•
T67;Frejol chiclayo rojo;335;1403;13,5;21,8;2,5;58,8;•;•
T68;Frejol de Iberia;343;1436;10,0;22,7;1,3;62,3;•;•
T69;Frejol negro sancochado;104;435;64,4;9,8;1,7;22,8;13,8;9,1
T70;Frejol ñuña;271;1134;11,3;19,1;1,2;64,6;47,9;16,7
T71;Frejol panamito sancochado;106;445;62,5;9,5;1,4;25,4;15,1;10,3
T72;Frejol soya, bebida (leche de soya UHT);49;206;88,8;3,0;1,8;6,0;•;•
T73;Frejol soya, cocido;176;735;62,8;15,3;9,2;11,1;•;•
T74;Frejol soya, harina integral;359;1503;8,0;37,4;23,0;26,4;9,2;17,2
T75;Frejol soya, harina integral tostada;433;1814;6,5;40,5;23,4;23,9;•;•
T76;Frejol ucayalino;334;1398;13,5;21,7;2,3;58,8;•;•
T77;Frejol zarandaja sancochado;114;478;62,6;9,9;1,0;25,5;17,6;7,9
T78;Gigante rojo, cáscara del grano;348;1456;10,3;4,4;0,7;80,3;•;•
T79;Gigante rojo, cáscara fresca del grano;125;523;67,4;2,7;0,2;28,0;•;•
T80;Gigante rojo, pulpa fresca;166;695;56,0;16,3;0,6;25,7;•;•
T81;Gigante rojo, pulpa seca;333;1395;12,0;31,6;1,3;52,3;•;•
T82;Hemico leguminoso;331;1387;12,6;25,6;1,7;56,1;•;•
T83;Pallar del río Manú;329;1376;13,4;22,0;0,9;60,2;•;•
T84;Poroto de cumbasa;357;1495;11,0;22,5;5,5;57,3;•;•
T85;Proteínas, (proteína de soya);350;1464;5,8;49,3;0,5;36,0;•;•
U1;Arracacha o racacha;94;392;72,4;1,1;0,3;25,2;22,9;2,3
U2;Ashipa;170;713;55,3;1,4;0,3;42,7;40,8;1,9
U3;Camote amarillo sin cáscara;95;399;73,5;2,0;0,0;23,4;20,5;2,9
U4;Camote blanco;114;478;68,8;1,7;0,1;28,3;•;•
U5;Camote morado sin cáscara;105;440;71,6;1,4;0,3;25,7;•;•
U6;Camote, harina de;341;1427;9,9;2,1;0,9;84,3;81,3;3,0
U7;Curao;62;258;82,5;1,6;0,1;14,7;•;•
U8;Koshñipa;135;565;63,2;1,6;0,2;33,6;•;•
U9;Kuros;93;391;74,5;1,8;0,2;22,6;•;•
U10;Llacón;51;215;86,6;0,3;0,3;12,5;•;•
U11;Maca (tubérculo seco);301;1258;15,3;11,8;1,6;66,3;•;•
U12;Maca silvestre;69;288;79,8;3,5;1,0;13,2;•;•
U13;Maca, afrechillo;316;1322;12,0;10,5;0,6;73,4;•;•
U14;Maca, almidón;350;1464;11,0;6,1;1,2;80,1;•;•
U15;Maca, pasta integral;310;1297;11,1;14,0;1,0;68,4;•;•
U16;Mashua;32;135;88,0;0,7;0,1;10,6;7,7;2,9
U17;Olluco sin cáscara;59;246;83,7;1,1;0,1;14,3;•;•
U18;Papa amarilla sin cáscara;101;423;73,2;2,0;0,4;23,3;22,9;0,4
U19;Papa blanca;87;363;74,5;2,1;0,1;22,3;19,9;2,4
U20;Papa chuño negro;333;1392;14,1;4,0;0,2;79,4;•;•
U21;Papa color morado deshidratada;324;1358;13,3;8,7;0,2;74,1;•;•
U22;Papa helada amarga;180;752;54,5;1,8;0,6;42,1;•;•
U23;Papa huayro con cáscara;71;295;81,0;1,9;0,1;15,9;•;•
U24;Papa moraya chuño pelado;323;1350;18,1;1,9;0,5;77,7;•;•
U25;Papa seca;322;1347;14,8;8,2;0,7;72,8;•;•
U26;Papa, harina de;308;1289;10,9;6,4;0,4;77,1;71,2;5,9
U27;Papas deshidratadas con lejía;319;1336;14,0;8,0;0,3;73,1;•;•
U28;Pituca o taro;82;343;73,7;1,6;0,5;23,2;19,1;4,1
U29;Pituca, harina de;342;1430;9,7;8,1;0,3;78,6;•;•
U30;Radiche;77;323;78,0;1,8;0,1;18,6;•;•
U31;Betarraga;18;76;91,3;2,0;0,3;5,4;2,7;2,7
U32;Sachapapa;96;401;72,2;1,8;1,5;23,5;19,4;4,1
U33;Sachapapa blanca, bulbo;126;527;67,2;2,5;0,1;29,4;•;•
U34;Yuca amarilla fresca sin cáscara;147;613;59,0;0,6;0,2;39,1;37,3;1,8
U35;Yuca asada;168;702;53,7;0,6;0,3;44,4;42,6;1,8
U36;Yuca blanca fresca sin cáscara;115;480;65,8;0,7;0,5;31,8;28,3;3,5
U37;Yuca blanca sancochada;136;569;62,0;0,5;0,2;36,4;34,6;1,8
U38;Yuca, harina de;333;1392;17,1;0,3;0,1;82,2;82,1;0,1
U39;Achira blanca (rizoma, raíz);96;402;73,2;1,4;0,1;23,8;•;•
U40;Achira morada (rizoma, raíz);94;393;74,0;1,4;0,1;23,2;•;•
U41;Camote de Huarayoc;106;445;71,0;1,6;0,2;26,1;•;•
U42;Camote deshidratado;333;1391;11,0;3,7;0,7;82,4;•;•
U43;Camote deshidratado tratado con lejía;327;1369;11,5;5,3;0,8;79,6;•;•
U44;Cushusho (tubérculo);287;1202;15,7;16,3;0,5;61,9;•;•
U45;Dale - Dale (tubérculo);115;483;67,0;4,3;0,2;26,5;•;•
U46;Iguana papa (tubérculo);77;322;78,0;5,0;0,2;15,3;•;•
U47;Maca, harina de;328;1374;6,6;8,7;4,1;78,9;70,3;8,6
U48;Nopu - zumaca (tubérculo);143;596;59,8;7,1;0,4;31,1;•;•
U49;Oca deshidratada (ccaya);311;1300;15,3;4,3;1,1;75,4;•;•
U50;Oca sin cáscara;53;221;83,0;0,7;0,0;15,6;13,1;2,4
U51;Oca variedad nativa ccaya oga con cáscara;29;122;82,6;0,8;0,4;15,4;6,2;9,2
U52;Oca variedad nativa garwuaricra con cáscara;28;118;84,5;0,9;0,4;13,5;5,9;7,6
U53;Papa canchan;66;275;77,4;2,4;0,1;19,1;14,4;4,7
U54;Papa, chuño negro, harina de;322;1347;15,3;5,8;0,1;75,6;•;•
U55;Papa moraya, harina de;332;1390;16,5;2,3;0,1;80,6;•;•
U56;Papa negra andina;63;262;81,0;1,8;0,4;16,2;13,6;2,6
U57;Papa sin cáscara, variedad amarilis;64;269;81,7;2,1;0,1;15,4;14,4;1,1
U58;Papa sin cáscara, variedad huevo de indio;84;350;75,8;2,1;0,2;21,1;19,1;1,9
U59;Papa sin cáscara, variedad tumbay;86;360;75,5;2,0;0,1;21,5;19,8;1,7
U60;Papa sin cáscara, variedad única;77;320;77,8;2,3;0,2;19,0;17,1;1,9
U61;Papa sin cáscara, variedad Yungay;86;360;77,1;2,1;0,1;19,9;•;•
U62;Papa variedad nativa capulí con cáscara;115;483;65,7;1,2;0,3;31,5;27,1;4,3
U63;Papa variedad nativa caramarquina con cáscara;98;408;69,3;1,7;0,3;27,5;22,4;5,0
U64;Papa variedad nativa chimbina amarilla con cáscara;68;285;75,3;2,3;0,2;21,0;14,8;6,2
U65;Papa variedad nativa huagalina con cáscara;54;225;77,9;2,4;0,2;18,3;11,2;7,1
U66;Papa variedad nativa hualash con cáscara;54;224;78,6;2,0;0,4;17,6;11,0;6,6
U67;Papa variedad nativa huayro con cáscara;76;319;75,1;1,7;0,2;21,8;17,3;4,5
U68;Papa variedad nativa huevo de toro con cáscara;72;301;73,8;2,4;0,3;22,4;15,6;6,8
U69;Papa variedad nativa limeña con cáscara;68;286;75,2;2,5;0,3;20,9;14,6;6,3
U70;Papa variedad nativa maga blanca con cáscara;65;271;76,8;3,0;0,3;18,9;13,5;5,4
U71;Papa variedad nativa peruanita con cáscara;78;327;74,1;2,0;0,3;22,4;17,3;5,1
U72;Papa variedad nativa puca pampamachay con cáscara;81;339;71,9;2,0;0,2;24,8;18,3;6,4
U73;Papa variedad nativa puca pishgosh con cáscara;99;416;68,8;1,9;0,5;27,5;22,4;5,0
U74;Papa variedad nativa quinuapa tulum con cáscara;70;293;74,3;1,9;0,5;21,8;15,1;6,7
U75;Papa variedad nativa sapa negra con cáscara;72;301;73,7;2,2;0,3;22,6;15,7;6,9
U76;Papa variedad nativa yana shaque con cáscara;108;450;67,6;1,8;0,4;29,1;24,7;4,5
U77;Quillu uncucha (tubérculo);146;610;59,0;4,5;0,2;34,3;•;•
U78;Sachapapa, bulbo aéreo;138;577;64,6;2,3;0,3;32,0;•;•
U79;Tallapaqui culli (tubérculo);72;302;79,5;2,0;0,2;16,9;•;•
U80;Tallapaqui yurak (tubérculo);88;367;75,6;2,0;0,1;21,2;•;•
U81;Yuca de moja;160;670;57,0;1,5;0,2;40,2;•;•
SE1;Aguadito de pollo;45;188;19,6;2,4;1,0;6,7;6,1;0,4
SE3;Alita broaster con ensalada de lechuga;143;599;72,1;8,2;6,7;12,3;11,0;1,3
SE4;Ancoquis en salsa roja;127;530;71,3;5,2;4,4;17,1;15,9;1,2
SE5;Atún vegano;152;637;61,3;11,9;3,1;21,2;13,8;1,8
SE6;Caldo;38;158;32,6;2,2;0,2;6,9;6,3;0,6
SE7;Caldo de carne;29;120;19,3;1,8;0,1;5,5;4,9;0,6
SE8;Caldo de cordero;67;279;6,5;4,5;2,7;6,2;5,7;0,1
SE9;Caldo de gallina;45;189;15,6;2,9;0,6;7,2;6,9;0,3
SE11;Caldo de pescado;32;136;11,3;1,0;0,1;7,3;6,8;0,6
SE12;Caldo de pollo;64;269;22,9;3,7;1,4;9,2;8,5;0,5
SE13;Caldo de res;50;210;16,9;1,9;0,1;11,1;10,4;0,8
SE14;Carpaccio de pescado;88;367;76,6;14,0;1,9;3,3;2,4;0,4
SE15;Causa;95;396;77,5;4,7;2,5;14,1;13,6;0,4
SE16;Causa de palta;140;585;45,7;1,4;11,9;9,6;4,5;2,1
SE18;Causa de pollo;106;445;68,9;3,1;4,3;14,7;13,1;1,5
SE19;Causa de pulpa de cangrejo;215;900;65,4;6,7;17,6;9,4;8,0;1,3
SE20;Causa criolla;174;729;66,5;2,4;10,7;18,0;17,6;0,4
SE21;Causa rellena;113;471;75,1;3,0;5,2;14,3;13,1;1,2
SE22;Cazuela;33;140;14,4;1,9;0,8;4,5;4,1;0,2
SE23;Cazuela de pollo;39;162;24,7;2,2;0,6;6,5;5,4;0,5
SE25;Cebiche de pescado;91;382;75,9;7,0;2,2;11,7;10,5;1,0
SE26;Cebiche de pescado con chicharrón de pota;147;613;64,3;6,9;2,7;24,8;23,7;1,2
SE27;Cebiche de pescado con pota;69;289;80,1;4,4;0,2;14,1;8,1;1,1
SE28;Cebiche de pota;53;222;66,2;5,1;0,4;7,8;6,9;0,9
SE29;Cebiche mixto;129;540;71,0;8,7;4,7;13,7;12,0;1,2
SE30;Cebiche y chilcano de pescado;77;323;42,7;6,3;2,9;5,8;5,5;0,4
SE31;Chaque;66;274;42,6;5,5;0,6;9,5;3,1;0,2
SE33;Chicharrón con salsa criolla y leche de tigre;66;277;49,3;5,7;0,7;9,3;8,7;0,5
SE34;Chicharrón de pollo;100;418;74,0;2,7;1,6;20,2;4,8;0,9
SE36;Choritos a la chalaca;65;274;82,7;6,2;1,2;8,6;7,8;0,8
SE37;Choclo a la huancaína;111;464;40,8;5,4;5,4;12,0;11,1;0,8
SE38;Choclo con queso;239;999;57,1;15,1;16,8;7,4;7,0;0,5
SE39;Chupe de camarón;75;314;62,5;5,0;1,4;11,3;10,4;0,8
SE40;Chupe de cangrejo;36;152;23,7;2,6;1,3;4,0;3,5;0,4
SE41;Chupe de chochoca;53;223;21,4;1,6;1,6;8,3;8,0;0,4
SE42;Chupe de choro;48;203;19,1;1,8;0,5;9,2;8,8;0,3
SE44;Chupe de mariscos;59;245;29,8;2,7;0,6;10,5;9,7;0,8
SE45;Chupe de pescado;48;201;21,3;2,4;1,2;7,1;6,5;0,4
SE46;Chupe de pollo;36;152;20,2;2,8;0,9;4,3;4,0;0,2
SE47;Chupe de trigo;16;67;12,0;0,6;0,3;2,8;2,6;0,2
SE48;Chupe mixto;15;62;13,0;1,4;0,4;1,6;1,4;0,1
SE49;Consomé de pollo;30;124;13,7;2,6;1,1;2,3;2,1;0,1
SE51;Crema de ocopa;109;455;71,0;3,1;3,6;16,9;15,2;1,6
SE54;Crema de verdura;34;141;15,1;0,8;2,1;3,2;2,9;0,3
SE56;Croquetas;175;734;25,2;4,2;11,6;15,3;3,3;4,2
SE57;Ensalada;77;324;83,4;1,3;6,6;5,9;3,2;2,8
SE58;Ensalada cesar;76;316;84,1;4,7;4,8;4,6;3,6;1,1
SE59;Ensalada de atún;82;343;79,3;3,9;1,3;14,6;12,5;2,1
SE60;Ensalada de cocona;45;189;84,9;1,2;0,4;10,4;9,0;0,8
SE61;Ensalada de fideos;273;1144;41,4;5,9;11,4;39,3;36,4;2,8
SE62;Ensalada de lechuga;62;258;90,6;0,6;5,7;2,6;1,5;1,1
SE63;Ensalada de verduras;86;360;84,6;1,6;7,5;5,1;3,3;1,7
SE65;Flauta rellena;123;514;68,2;13,3;3,2;12,5;10,3;2,2
SE66;Huevo a la rusa;75;313;41,1;3,5;3,2;8,6;5,7;0,9
SE68;Hummus;212;887;7,8;7,0;3,9;38,0;32,5;2,9
SE70;Menestrón con res;42;177;22,3;2,2;0,4;8,1;6,9;0,9
SE71;Ocopa a la arequipeña;119;499;68,6;3,9;4,7;16,1;10,3;1,0
SE72;Palta rellena;112;467;74,0;2,6;6,3;15,4;10,9;4,6
SE73;Pan al ajo;74;310;76,9;0,3;0,0;20,8;1,8;0,1
SE74;Papa a la huancaína;118;496;69,2;3,4;3,7;18,6;13,6;1,3
SE75;Papas a la rioja;60;251;51,7;2,5;1,7;8,9;1,1;0,3
SE76;Papa con huevo;116;487;65,9;6,3;7,1;7,7;6,9;0,3
SE77;Papas fritas;359;1503;49,6;1,4;33,4;14,9;13,3;1,6
SE79;Papa rellena con ensalada;135;564;71,9;3,3;6,0;17,6;2,8;0,2
SE80;Papa rellena con sarsa criolla;160;670;68,7;3,9;9,6;16,0;12,3;1,5
SE81;Parihuela;51;212;40,8;6,4;2,1;1,0;0,7;0,2
SE82;Pastel de papa;138;579;70,4;6,2;6,1;14,7;13,1;1,4
SE84;Pejerrey arrebosado;172;718;66,5;6,9;9,3;15,7;14,3;1,3
SE85;Rocoto relleno;136;569;73,2;6,6;7,5;11,2;10,1;1,0
SE86;Salpicón de atún;253;1059;43,3;7,9;11,0;32,4;29,9;2,4
SE88;Salpicón de verduras;169;707;67,4;3,3;10,9;18,0;14,7;2,4
SE90;Sancochado con res;31;130;20,4;1,5;0,2;6,2;5,4;0,5
SE91;Shambar;46;193;22,6;4,1;1,2;4,8;3,3;0,9
SE92;Solterito;85;354;77,7;5,0;2,6;13,0;10,3;2,7
SE93;Sopa a la minuta;44;183;17,0;2,4;0,6;7,5;7,0;0,4
SE94;Sopa a la minuta de pollo;60;253;19,9;2,9;1,3;9,0;8,4;0,5
SE95;Sopa campesina;45;187;10,1;2,2;0,4;8,5;5,9;1,4
SE96;Sopa chilena;21;86;9,0;2,1;0,3;3,3;2,3;1,0
SE97;Sopa criolla con pollo;19;79;9,2;1,0;0,5;2,9;2,6;0,2
SE98;Sopa criolla con res;41;174;19,9;3,1;0,6;6,0;5,6;0,4
SE99;Sopa de arroz;26;109;11,4;1,4;0,5;3,9;3,7;0,1
SE100;Sopa de arroz con res;30;126;22,6;1,8;0,2;5,5;5,1;0,4
SE101;Sopa de arverja;94;393;8,9;2,9;0,4;20,2;19,4;0,8
SE102;Sopa de cangrejo;35;148;16,6;1,4;0,1;7,5;7,2;0,4
SE103;Sopa de casa;48;203;19,4;2,0;0,4;9,6;8,7;0,6
SE107;Sopa de fideos con res;37;154;20,8;2,0;0,1;7,4;6,7;0,6
